iter	Passed	Remaining
575	91025	67004
576	91171	66838
577	91314	66669
578	91454	66498
579	91626	66350
580	91780	66189
581	91929	66024
582	92073	65857
583	92204	65679
584	92368	65526
585	92514	65360
586	92645	65183
587	92788	65014
588	92942	64854
589	93115	64707
590	93255	64537
591	93447	64403
592	93588	64233
593	93738	64070
594	93877	63899
595	94032	63740
596	94190	63582
597	94345	63422
598	94516	63274
599	94680	63120
600	94852	62971
601	95011	62814
602	95219	62690
603	95360	62521
604	95540	62377
605	95706	62225
606	95893	62085
607	96064	61936
608	96227	61781
609	96405	61636
610	96607	61506
611	96773	61352
612	96933	61196
613	97107	61048
614	97283	60901
615	97411	60724
616	97548	60552
617	97696	60388
618	97873	60242
619	98000	60064
620	98149	59901
621	98314	59747
622	98488	59599
623	98655	59446
624	98831	59298
625	99008	59152
626	99144	58980
627	99322	58834
628	99472	58671
629	99623	58509
630	99790	58356
631	99942	58194
632	100073	58020
633	100240	57867
634	100415	57719
635	100584	57566
636	100741	57408
637	100901	57251
638	101067	57097
639	101229	56941
640	101380	56779
641	101554	56630
642	101740	56487
643	101928	56345
644	102084	56185
645	102239	56025
646	102406	55872
647	102575	55720
648	102710	55549
649	102868	55390
650	103066	55253
651	103214	55089
652	103367	54929
653	103497	54755
654	103627	54582
655	103802	54433
656	103950	54269
657	104121	54117
658	104284	53961
659	104489	53827
660	104644	53667
661	104771	53493
662	104922	53331
663	105077	53171
664	105249	53020
665	105400	52858
666	105513	52677
667	105639	52503
668	105775	52334
669	105914	52166
670	106073	52009
671	106185	51828
672	106324	51661
673	106440	51483
674	106565	51309
675	106699	51140
676	106845	50976
677	106983	50809
678	107110	50636
679	107218	50455
680	107357	50289
681	107499	50124
682	107630	49954
683	107757	49782
684	107875	49606
685	108020	49443
686	108177	49286
687	108305	49115
688	108433	48944
689	108566	48776
690	108704	48610
691	108838	48442
692	108956	48267
693	109062	48088
694	109222	47932
695	109337	47756
696	109463	47586
697	109612	47425
698	109768	47268
699	109903	47101
700	110038	46935
701	110181	46772
702	110312	46604
703	110446	46437
704	110586	46273
705	110741	46116
706	110871	45948
707	110990	45775
708	111117	45606
709	111275	45450
710	111399	45280
711	111560	45125
712	111676	44952
713	111828	44794
714	112051	44663
715	112186	44498
716	112316	44331
717	112453	44166
718	112607	44009
719	112739	43843
720	112876	43679
721	113025	43519
722	113172	43359
723	113285	43186
724	113406	43016
725	113562	42859
726	113688	42691
727	113827	42529
728	113968	42366
729	114090	42197
730	114198	42023
731	114335	41860
732	114477	41699
733	114611	41535
734	114750	41372
735	114884	41208
736	115043	41053
737	115174	40888
738	115342	40736
739	115496	40579
740	115649	40422
741	115827	40274
742	116013	40128
743	116175	39974
744	116344	39822
745	116523	39674
746	116646	39506
747	116818	39356
748	116990	39205
749	117154	39051
750	117287	38887
751	117427	38725
752	117589	38571
753	117772	38424
754	117923	38266
755	118057	38103
756	118189	37939
757	118321	37775
758	118463	37614
759	118612	37456
760	118788	37306
761	118937	37148
762	119097	36993
763	119238	36832
764	119379	36672
765	119557	36522
766	119686	36358
767	119852	36205
768	120035	36057
769	120194	35902
770	120374	35753
771	120499	35587
772	120680	35439
773	120868	35292
774	121097	35157
775	121274	35007
776	121451	34856
777	121582	34693
778	121719	34531
779	121880	34376
780	122050	34224
781	122206	34067
782	122338	33904
783	122511	33753
784	122661	33595
785	122824	33440
786	122993	33288
787	123160	33134
788	123332	32982
789	123469	32821
790	123623	32664
791	123815	32517
792	123974	32361
793	124156	32211
794	124316	32056
795	124493	31905
796	124651	31749
797	124814	31594
798	124934	31428
799	125100	31275
800	125242	31115
801	125414	30962
802	125581	30808
803	125719	30647
804	125870	30490
805	126028	30334
806	126192	30179
807	126353	30024
808	126506	29867
809	126708	29721
810	126883	29569
811	127050	29415
812	127221	29262
813	127398	29110
814	127567	28956
815	127722	28800
816	127929	28655
817	128063	28493
818	128216	28335
819	128385	28182
820	128551	28027
821	128692	27867
822	128838	27708
823	128996	27552
824	129133	27391
825	129332	27244
826	129491	27088
827	129661	26934
828	129789	26772
829	129943	26614
830	130090	26456
831	130242	26298
832	130405	26143
833	130588	25992
834	130762	25839
835	130921	25683
836	131062	25523
837	131221	25367
838	131342	25203
839	131480	25043
840	131654	24890
841	131838	24739
842	131969	24578
843	132132	24422
844	132285	24265
845	132397	24100
846	132554	23944
847	132702	23786
848	132865	23630
849	133006	23471
850	133172	23316
851	133343	23162
852	133479	23002
853	133646	22848
854	133823	22695
855	133966	22536
856	134126	22380
857	134280	22223
858	134473	22073
859	134669	21922
860	134835	21767
861	134998	21612
862	135154	21455
863	135305	21298
864	135477	21143
865	135632	20987
866	135781	20829
867	135930	20671
868	136095	20516
